DrugBank ID,Common name,Synonyms
DB00945,Aspirin,Acetylsalicylic acid | ASA
DB01050,Ibuprofen,
DB00316,Acetaminophen,Paracetamol | APAP
DB00331,Metformin,Metformin hydrochloride
DB01076,Atorvastatin,Atorvastatin calcium
DB00207,Azithromycin,
DB00564,Carbamazepine,
DB00472,Fluoxetine,Fluoxetine hydrochloride
DB00682,Warfarin,
DB00641,Simvastatin,
DB01193,Acebutolol,
DB00284,Acarbose,
DB00945-amox,Amoxicillin,Amox
DB00338,Omeprazole,
DB00482,Celecoxib,
DB00958,Carboplatin,
DB00993,Azathioprine,
DB00091,Cyclosporine,Ciclosporin
DB00877,Sirolimus,Rapamycin
DB01234,Dexamethasone,
